Mes,dia,hospitalizados_totales,hospitalizados_cdmx,hospitalizados_edomex,intubados_totales,intubados_cdmx,intubados_edomex
3,25,105,105,0,33,33,0
3,26,128,128,0,42,42,0
3,27,175,175,0,60,60,0
3,28,257,257,0,78,78,0
4,1,384,359,25,133,128,5
4,10,1085,834,251,314,256,58
4,14,1446,1110,336,418,343,75
4,15,1530,1121,409,472,355,117
4,16,1705,1255,450,508,390,118
4,17,1887,1408,479,585,468,117
4,18,2067,1548,519,611,487,124
4,19,2205,1647,558,654,524,130
4,20,2301,1706,595,656,529,127
4,21,2529,1878,651,699,572,127
4,23,2745,2064,681,701,571,130
4,30,4107,2900,1207,1006,845,215
5,5,4994,3438,1556,1102,878,224
5,7,4906,3424,1482,1134,899,235
5,9,5216,3610,1606,1186,918,268
5,11,5423,3779,1644,1193,935,258
5,15,5871,4099,1772,1289,974,315
5,16,5970,4159,1811,1295,982,313
5,20,6425,4540,1885,1429,1111,318
5,26,6340,4478,1862,1444,1076,368
5,28,6241,4420,1821,1398,1053,345
5,30,6278,4444,1834,1447,1081,366
6,3,6362,4465,1897,1490,1095,395
6,6,6442,4484,1958,1425,1045,380
6,8,6320,4408,1912,1408,1041,367
6,14,6130,4331,1799,1347,1006,341
6,15,6057,4279,1778,1329,998,331
6,19,5818,4142,1676,1265,952,313
6,20,5750,4080,1670,1274,958,316
6,28,5282,3780,1502,1270,958,312
6,29,5277,3793,1484,1261,949,312
6,30,5288,3822,1466,1236,932,304
7,3,5095,3666,1429,1195,897,298
7,4,5010,3592,1418,1203,878,325
7,10,4800,3452,1348,1152,844,308
7,15,4753,3411,1342,1115,812,303
7,21,4645,3391,1254,1099,811,288
7,23,4717,3438,1279,1071,776,295
7,30,4597,3383,1214,1134,839,295
7,31,4512,3284,1228,1126,831,295
8,5,4290,3176,1114,1079,813,266
8,7,4211,3115,1096,1043,787,256
8,9,4105,3004,1101,1053,777,276
8,10,4060,2973,1087,1033,754,279
8,11,4002,2902,1100,975,712,263
8,13,3978,2822,1156,962,690,272
8,18,3999,2889,1110,933,677,256
8,19,4010,2885,1125,936,686,250
8,23,3745,2720,1025,918,695,223
8,25,3852,2850,1002,906,706,200
9,1,3863,2931,932,900,700,200
9,2,3847,2889,958,871,685,186
9,3,3763,2845,918,860,670,190
9,5,3723,2820,903,859,671,188
9,11,3823,2885,938,907,704,203
9,20,3604,2705,899,912,712,200
9,23,3595,2712,883,875,690,185
9,25,3476,2632,844,849,675,174
9,26,3382,2556,826,829,659,170
9,28,3420,2597,823,849,679,170
10,1,3450,2602,848,831,658,173
10,2,3444,2608,836,835,669,166
10,3,3398,2566,832,824,664,160
10,7,3492,2586,906,844,669,175
10,11,3472,2597,875,862,687,175
10,14,3599,2691,908,872,700,172
10,20,3751,2752,999,887,701,186
10,23,3742,2778,964,930,744,186
10,25,3760,2802,958,922,736,186
10,29,3875,2881,994,935,723,212
11,1,3788,2854,934,938,742,196
11,2,3796,2862,934,918,731,187
11,6,3836,2892,944,917,716,201
11,9,3960,2970,990,960,771,189
11,11,4229,3150,1079,1003,803,200
11,16,4400,3333,1067,1064,850,214
11,17,4477,3347,1130,1038,828,210
11,18,4581,3411,1170,1063,845,218
11,20,4599,3441,1158,1092,863,229
11,30,5157,3827,1330,1168,908,260
12,2,5324,3901,1423,1182,920,262
12,4,5468,3975,1493,1190,931,259
12,8,5864,4225,1639,1221,953,268
12,15,6749,4834,1915,1455,1143,312
12,24,7674,5503,2171,1886,1474,412
12,28,7847,5563,2284,1972,1500,472
12,31,8287,5867,2420,2049,1547,502
12,1,8332,5945,2387,2122,1617,505
12,4,8531,6071,2460,2114,1626,488
12,5,8545,6086,2459,2097,1582,515
12,6,8654,6186,2468,2081,1581,500
12,24,50,50,0,39,39,0
12,29,258,258,0,84,84,0
12,30,324,301,23,109,104,5
12,31,328,313,15,122,118,4
12,2,393,361,32,143,136,7
12,6,596,559,37,182,171,11
